Original,New
2024_dpv,dPV
2024_DUPV,dPV
2024_UPV,PV
2024_Wind,Wind
battery,Storage
Battery,Battery
BATTERY_1,Storage
BATTERY_2,Storage
BATTERY_4,Storage
Bio_CC,Biopower
Bio_CC_Whole,Biopower
Bio_CT,Biopower
Bio_ICE,Biopower
Bio_ST,Biopower
Biogas CT,Biopower
Biogas_CT_ERCOT,Biopower
Biomass,Biopower
Biomass,Biomass
Biomass_EI,Biopower
Biomass_MX,Biopower
Biomass_WI,Biopower
biopower,Biopower
Biopower,Biopower
caes,Storage
caes_gas,Storage
CAN,Net Imports
CC,Gas-CC
CC_AB_Cogen,Gas-CC
CC_Whole_NG_Aero,Gas-CC
CC_Whole_NG_Ind,Gas-CC
CC_Whole_NG_SS,Gas-CC
CC_WI,Gas-CC
CCGT-GAS,Oil/Gas
CCGT-LNG,Gas-CC
CCGT-NAPTHA,Gas-CC
CCPP_BD,Gas-CC
CCS,Storage discharge
Coal,Coal
Coal ST,Coal
Coal_ST,Coal
Coal_ST_EI,Coal
Coal_ST_ERCOT,Coal
Coal_ST_MX,Coal
Coal_ST_WI,Coal
coal-ccs,Coal
coal-igcc,Coal
coal-new,Coal
Coal/Steam,Coal
coaloldscr,Coal
coalolduns,Coal
cofirenew,Coal
Cogen_MX,Gas-CT
COGENERATION-BAGASSE,Oil/Gas
CrossCompoundWhole_Coal,Coal
CSP,CSP
CSP_MX,CSP
CSP_noTES,CSP
CSP-noTES_WI,CSP
CSP-TES,CSP
CSP-TES_WI,CSP
CT,Gas-CT
CT_AB_Cogen,Gas-CC
CT_BD,Gas-CT
CT_NG_Aero,Gas-CC
CT_NG_Ind,Gas-CC
CT_Oil,Oil/Gas
CT_WI,Gas-CT
CT-GAS,Oil/Gas
Curtailment,Curtailment
Curtailment,Curtailment
DC-Intertie,Other
Dfuel_gen,Other
DG-BTM_2028,dPV
DIESEL,Other
DIESEL_BD,Other
DIESEL_NP,Other
distPV,dPV
dpv,dPV
dPV,dPV
DR,Other
Dual_Fuel_NE,Dual Fuel
Dual_Fuel_NY,Dual Fuel
Dummy_WI,Other
