Original,New
Nuclear_EI,Nuclear
Nuclear_ERCOT,Nuclear
Nuclear_MX,Nuclear
Nuclear_WI,Nuclear
nuclear,Nuclear
Nuclear,Nuclear
Coal/Steam,Coal
Coal_ST_EI,Coal
Coal_ST_ERCOT,Coal
Coal_ST_MX,Coal
Coal_ST_WI,Coal
coal-igcc,Coal
coal-new,Coal
coaloldscr,Coal
coal-ccs,Coal CCS
ReEDS_coal-igcc_coal-ccs_mod,Coal CCS
ReEDS_coal-igcc_coal-ccs_max,Coal CCS
ReEDS_coaloldscr_coal-ccs_max,Coal CCS
ReEDS_coalolduns_coal-ccs_max,Coal CCS
ReEDS_coal-new_coal-ccs_max,Coal CCS
ReEDS_coaloldscr_coal-ccs_mod,Coal CCS
ReEDS_coalolduns_coal-ccs_mod,Coal CCS
ReEDS_coal-new_coal-ccs_mod,Coal CCS
ReEDS_coal-new_coal-ccs_mod,Gas-CC
NG_CC_EI,Gas-CC
NGCC_MX,Gas-CC
GasCC_ERCOT,Gas-CC
CC_WI,Gas-CC
gas-cc,Gas-CC
NG/CT,Gas-CT
NG_CT_EI,Gas-CT
CT_WI,Gas-CT
Gas_CT_ERCOT,Gas-CT
NGCT_MX,Gas-CT
gas-ct,Gas-CT
Cogen_MX,Gas-CT
Dual_Fuel_NE,Dual Fuel
Oil/CT,Oil-Gas-Steam
Oil/Steam,Oil-Gas-Steam
Gas_ST_ERCOT,Oil-Gas-Steam
NG_ST_EI,Oil-Gas-Steam
NG_ST_MX,Oil-Gas-Steam
NG_ST_WI,Oil-Gas-Steam
Other_ST_WI,Oil-Gas-Steam
Oil_CT_ERCOT,Oil-Gas-Steam
Oil_CT_MX,Oil-Gas-Steam
Oil_ST_MX,Oil-Gas-Steam
NG_IC_MX,Oil-Gas-Steam
IC_WI,Oil-Gas-Steam
Oil_IC_MX,Oil-Gas-Steam
o-g-s,Oil-Gas-Steam
Oil_CT_EI,Oil-Gas-Steam
Oil_ST_EI,Oil-Gas-Steam
Hydro_EI,Hydro
Hydro_ERCOT,Hydro
Hydro_MX,Hydro
Hydro_WI,Hydro
geothermal,Geothermal
Geothermal_MX,Geothermal
Geothermal_WI,Geothermal
Biomass_EI,Biopower
biopower,Biopower
Biomass_MX,Biopower
Biomass_WI,Biopower
Solid_Biofuel_ST_ERCOT,Biopower
Biogas_CT_ERCOT,Biopower
lfill-gas,Biopower
Dummy_WI,Other
EE_WI,Other
MotorLoad_WI,Other
Other_MX,Other
2024_Wind,Wind
wind-ons,Wind
CSP,CSP
CSP-TES_WI,CSP
CSP-noTES_WI,CSP
CSP_MX,CSP
RTPV,PV
2024_UPV,PV
2024_DUPV,dPV
pv,PV
PV,PV
SynchCond,Storage
battery,Storage
PS_EI,Storage
PS_WI,Storage
Storage_WI,Storage
caes,Storage
caes_gas,Storage
ReEDS_gas-ct-nsp,Gas-CT
ReEDS_battery,Storage
ReEDS_gas-cc-nsp,Gas-CC
ReEDS_dupv,dPV
ReEDS_upv,PV
ReEDS_gas-cc,Gas-CC
ReEDS_coal-new,Coal
ReEDS_csp-ns,CSP
ReEDS_wind-ons,Wind
ReEDS_coaloldscr,Coal
ReEDS_hydud,Hydro
ReEDS_caes,Storage
ReEDS_hydund,Hydro
ReEDS_gas-ct,Gas-CT
ReEDS_distpv,dPV
ReEDS_hydnpnd,Hydro
ReEDS_pumped-hydro,Storage
ReEDS_lfill-gas,Biopower
ReEDS_biopower,Biopower
ReEDS_geothermal,Geothermal
ReEDS_caes_gas,Storage
ReEDS_nuclear-nsp,Nuclear
ReEDS_coal-ccs,Coal CCS
ReEDS_cofirenew,Coal
ReEDS_hydnd,Hydro
ReEDS_o-g-s,Oil-Gas-Steam
ReEDS_coal-igcc,Coal
ReEDS_cofireold,Coal
coalolduns,Coal
cofirenew,Coal
hyded,Hydro
hydend,Hydro
pumped-hydro,Storage
CAN,Net Imports
Gas CC,Gas-CC
distPV,dPV
Gas CT,Gas-CT
Nuclear ST,Nuclear
Gas ST,Oil-Gas-Steam
Oil CT,Oil-Gas-Steam
Coal ST,Coal
Biogas CT,Biopower
Solid Biofuel ST,Biopower
ERCOT_penalty,Other
Biomass,Biopower
RPM Storage c1,Storage
RPM VG PV Rooftop,dPV
RPM VG PV Fixed,PV
Gas Steam,Oil-Gas-Steam
RPM VG Wind,Wind
Generic Storage,Storage
CT,Gas-CT
RPM Shed DR new generation,Other
RPM VG PV Tracking,PV
CC,Gas-CC
RPM PV Batt c0 DUPV,PV-Battery
RPM VG DUPV Battery,PV-Battery
RPM VG PV Battery,PV-Battery
PHES,Storage
RPM Storage c0,Storage
RPM PV Batt c1 PV,PV-Battery
Gas CC_ERCOT,Gas-CC
2024_dpv,dPV
Hydro,Hydro
SynchCond,Other
Wind,Wind
ReEDS_canada,Net Imports
ReEDS_wind-ofs,Wind
ReEDS_nuclear,Nuclear
ReEDS_csp,CSP
ReEDS_gas-cc-ccs,Gas-CC CCS
ReEDS_gas-cc_gas-cc-ccs_mod,Gas-CC CCS
ReEDS_gas-cc_gas-cc-ccs_max,Gas-CC CCS
ReEDS_hydsnd,Hydro
Hydro_MonthlyEnergy,Hydro
Hydro_FixedDispatch,Hydro
dpv,dPV
Dual_Fuel_NY,Dual Fuel
DIESEL_NP,Other
HYDRO-ROR,Hydro
HYDRO-ROR_KOSHI_NP,Hydro
SUPERCRITICAL-COAL_BD,Coal
SUBCRITICAL-COAL_BD,Coal
CCGT-LNG,Gas-CC
FUEL-OIL_BD,Oil-Gas-Steam
SUPERCRITICAL-COAL,Coal
HYDRO-PEAK_GANDAKI_NP,Hydro
HYDRO-STORAGE,Storage
CCGT-GAS,Gas-CC
BATTERY_1,Storage
HYDRO-PONDAGE,Hydro
CT-GAS,Gas-CT
HYDRO-STORAGE_KOSHI_NP,Storage
CT_BD,Gas-CT
WHR,Dual Fuel
BATTERY_2,Storage
FUEL-OIL_NP,Oil-Gas-Steam
HYDRO-STORAGE_GANDAKI_NP,Storage
NUCLEAR_BD,Nuclear
HYDRO-ROR_KARNALI_NP,Hydro
DIESEL_BD,Other
BATTERY_4,Storage
DUPV,dPV
HYDRO-PUMPED,Storage
HYDRO-STORAGE_BD,Storage
COGENERATION-BAGASSE,Dual Fuel
SUBCRITICAL-OIL,Oil-Gas-Steam
HYDRO-ROR-BT,Hydro
HYDRO-ROR_GANDAKI_NP,Hydro
HYDRO-PEAK_KOSHI_NP,Hydro
DIESEL,Other
HYDRO-PONDAGE-BT,Hydro
SUBCRITICAL-COAL,Coal
CCPP_BD,Gas-CC
CCGT-NAPTHA,Gas-CC
HYDRO-PEAK_KARNALI_NP,Hydro
UPV,PV
SUBCRITICAL-LIGNITE,Coal
Bio_CC,Biopower
Bio_CC_Whole,Biopower
Bio_CT,Biopower
Bio_ICE,Biopower
Bio_ST,Biopower
CC_AB_Cogen,Gas-CC
CC_Whole_NG_Aero,Gas-CC
CC_Whole_NG_Ind,Gas-CC
CC_Whole_NG_SS,Gas-CC
Coal_ST,Coal
CrossCompoundWhole_Coal,Coal
CSP_noTES,CSP
CSP-TES,CSP
CT_AB_Cogen,Gas-CC
CT_NG_Aero,Gas-CC
CT_NG_Ind,Gas-CC
CT_Oil,Oil-Gas-Steam
DC-Intertie,Other
Dfuel_gen,Other
DG-BTM_2028,dPV
DR,Other
Geo_BinaryCycle,Geothermal
Geo_DoubleFlash,Geothermal
HydroRPS,Hydro
ICE_NG,Oil-Gas-Steam
ICE_Oil,Oil-Gas-Steam
MotorLoad,Other
Other_Hourly_resource,Other
Other_ST,Oil-Gas-Steam
PS-Hydro,Storage
PS-HydroRPS,Storage
PV_Hrly-Res_2028,PV
SolarPV_NonTracking_2028,PV
SolarPV_Tracking_2028,PV
ST_NG,Oil-Gas-Steam
Steam,Oil-Gas-Steam
ST-Nuclear,Nuclear
Storage,Storage
VAR-Device,Other
WasteHeat_ST,Biopower
Wind_2028,Wind
Renewable_Thermal,Geothermal
Thermal,Oil-Gas-Steam
OSW,Offshore Wind
XcelWind,Wind
XcelPV,PV
XcelNG,Gas-CC
XcelBattery,Storage
OSW_BESS,OSW-Battery
Battery,Storage
Solar,PV
Liquid Fuel,Oil-Gas-Steam
Natural Gas,Oil-Gas-Steam
