Original,New
Nuclear_EI,Nuclear
Nuclear_ERCOT,Nuclear
Nuclear,Nuclear
Coal/Steam,Coal
Coal_ST_EI,Coal
Coal_ST_ERCOT,Coal
GasCC_ERCOT,Gas-CC
CC_WI,Gas-CC
gas-cc,Gas-CC
NG/CT,Gas-CT
NG_CT_EI,Gas-CT
CT_WI,Gas-CT
Oil_CT_MX,Oil-Gas-Steam
Oil_ST_MX,Oil-Gas-Steam
NG_IC_MX,Oil-Gas-Steam
IC_WI,Oil-Gas-Steam
Hydro_MX,Hydro
Hydro_WI,Hydro
Biomass_WI,Biopower
Solid_Biofuel_ST_ERCOT,Biopower
Biogas_CT_ERCOT,Biopower
lfill-gas,Biopower
CSP-noTES_WI,CSP
CSP_MX,CSP
RTPV,PV
2024_UPV,PV
caes,Storage
caes_gas,Storage
